uniqueID,drugName,condition,review,rating,date,usefulCount
225257,Bupropion,Depression,"""I was really glad that I experienced none of the possible side effects. After four weeks I did notice my mood getting better, but after that some things happened in my life (my dog had surgery, a break-up, a hair experiment gone wrong) that I was not able to deal with and I got worse. I felt myself spiraling downward and my anxiety shot way up. It's month number two and I just switched to lexapro. Hope it helps.""",4,2015-10-08,0
94168,Trintellix,Depression,"""This drug causes persistent nausea in some users as per their website. For most people it goes away after a few weeks--but not all. Initially I was also itchy and a little weepy (went away after 2 weeks). If you have a history of being unusually nausea prone (ie pregnancy) in my experience you may wind up in the persistent nausea group. I will have to switch as I don't want to be chained to zofran. Otherwise, worked fine as an alternative to paxil. Fewer side effects--unfortunately the one side effect it did cause is pretty debilitating in my case!""",5,2015-11-03,28
82188,Liraglutide,"Diabetes, Type 2","""have only been on victorza for a few days.  I had bad nausea and migranes then it changed to no energy at all .  I sleep till noon one day and I have 2 young kids and a full time job.  Searching for a better answer""",5,2016-01-28,18
224842,Bupropion,Depression,"""F/26, Wellbutrin SR 100mg twice a day & I feel so much better. I've tried many different SS/SNRIs over the past 12 years & they all made me have extreme suicidal thoughts. I had kind of given up hope on finding something that worked for me, but then a new psychiatrist recommended trying Wellbutrin. The first week or so was rough, I had blurry vision, shakes, & extreme light sensitivity. Those negative side effects went away after 3 weeks. I'm 3 months in & my mood has significantly increased, which is just amazing because my depression worsens significantly in the winter. I feel optimistic for the future, my sex drive is better, I have more energy & am more focused (I have fibromyalgia as well so this is huge for me), and I've quit smoking!""",10,2017-01-02,14
32516,Lisinopril,High Blood Pressure,"""I'm a 27 year old white male in good shape but have always had high blood pressure...I'm guessing genetic. My blood pressure would run anywhere from 130-160 over 85-105. The doctor tried a diuretic which did nothing, and then a beta blocker which had horrible side effects. They finally tried 10mg of lisinopril and wow how great! It almost immediately brought my blood pressure to 118/80's. I actually cut my dose to 2.5 mg in the morning and 2.5 mg at lunch and my blood pressure stays perfect all day and night. I have had no side effects whatsoever and wouldn't even know I was taking any medication if it weren't for my lowered blood pressure. Highly recommend!""",10,2011-12-09,55
32822,Empagliflozin,"Diabetes, Type 2","""I have been taking Jardiance for just over a year - I have NOT experienced any side effects whatsoever - MORE importantly this drug has reduced my blood sugar levels to an average of 5 and has maintained this level, quite incredible as nothing else has worked previously - I have named Jardiance as the ""diabetic wonder drug"" although my Doctor keeps reminding me there is no such thing as a wonder drug - I disagree this is MY wonder drug - thank you Jardiance you have changed my life completely astonishing result.""",10,2017-01-06,47
197894,Metoprolol,High Blood Pressure,"""I have been on metoprolol er 12.5mg since September 20th. The first month was great then on October 21st my resting heart rate went from 61 to 70 and when I walk it suddenly goes to 140 for no reason. I work out 6 days a week and it doesn't make any sence to me. Going back to my doctor tomorrow to figure it out. I just don't see why all of a sudden it would make things 10x worse. I didn't take it today to see if it would help. I was able to exersice without my heart rate sky rocketing to ridiculous numbers. This is the first medication like this I have ever taken. Plus the weight gain is ridiculous. I lost 15 lbs before starting this medication and less then 2 months I gained it all back.""",2,2016-11-03,19
45291,Fluoxetine,Depression,"""After being suicidal for many months and self harming in addition to extreme anxiety. I had taken Prozac  6 years earlier and didn't work at all has NOW almost eliminated my depression. I feel happier than I have in years. The only downside is I have gained about 20 lbs. My lowest weight was 133, considered healthy for someone 5'7 and athletic, but despite my clean eating and exercise I've blown up to 163 lbs in 2 years and nothing seems to get the weight off. This has been my only negative side effect. I choose my mental health over my body image although I also have an eating disorder BDD.""",8,2016-02-01,5
178948,Victoza,"Diabetes, Type 2","""I've been on Victoza for 13 days and have lost 8lbs. I've also been following a low carb diet maintaining 50g of carbs on a daily basis. I've also worked out only mildly at 2-3 times a week so far.  Feeling great, lots of energy.  Only side effects were nausea the first 2 days and some mild constipation.""",10,2010-11-29,6
232066,Trazodone,Depression,"""It has worked so far for me and I would recommend it to anyone suffering with depression.""",7,2008-07-25,99
205953,Pristiq,Depression,"""This will be my third week on Pristiq 50mg and so far I'm feeling quite positive and free of depressive feelings, however that's only if I get a good night's sleep. I have tried one Temazapam which works well but after the third day the build up in my system makes me feel very fatigued. """,6,2009-12-05,13
195947,Levomilnacipran,Depression,"""I have had severe depression since my teens and have been on antidepressants for many years. Fortunately I have had beneficial effects from several over the years.  The most effective treatment to date has been a combination of Wellbutrin and Cymbalta. I took that combination for ten+ years and unfortunately I recently started slipping downward, increased depression and feeling out of control.  I  was prescribed Fetzima (transitioned off Cymbalta) and completed the starter pack with the only benefit being increased energy. My Dr then increased the doseage to 80mg and have been at 80mg for two + weeks.  I have never felt (for lack of a better word) so crazy in my life! I have been so irretiable, angry, depressed and unreasonable and feeling""",1,2015-07-08,41
82584,Liraglutide,"Diabetes, Type 2","""I have only been on Victoza for less than a week now and already huge difference in my levels. Prior to Victoza I was on 2000mg Metforming, 5mg Onglyza following a low carb diet. That brought my levels down to an average of about 14 while fasting. Since being on the Victoza the highest reading I have had so far is a 12.5 which for me is incredible I can't wait to see what I will be at over the next month.  I am not focusing on the weight loss at the moment if it happens awesome, but I'm most concerned about my sugars. As for side effects I have had very mild nausea and that's all.""",10,2011-04-15,6
81720,Liraglutide,"Diabetes, Type 2","""Started this last night. I have zero appetite. How is this possible? I love food, but I don't really feel like eating. All I've had today is some grapes. I have a sandwich in my lunchbox, but I don't have any appetite. I haven't had any of the side effects so far. I started with the 1.2 dose. The ""pen"" is really easy to use compared to my intramuscular testosterone. However, this drug is ridiculously expensive. Even with good insurance, I would have to pay almost $400 a MONTH!!! Fortunately, another serious illness pushed me over my out-of-pocket annual. So, I filled the script for $0. Due to politics I may have no insurance next year. Anyway, so far, so good with Victoza.""",10,2017-05-06,13
186185,Desvenlafaxine,Depression,"""I have been taking 50mg of Pristiq for about 5 weeks now, and just started taking 100 mg a couple days ago. I am 31 yrs old, but have been on antidepressants for 10 yrs. I've tried many SSRI's (Lexapro for several yrs) and never felt much better at all. I remained depressed and began to try to accept that this is just what my life would be. Finally, about 2 months ago my Drs office began doing genetic testing which can guide them on what medicines your body will respond best to. So Pristiq it was. I think my mood has lifted somewhat. I'm really hoping it will improve even more as studies show full benefits take 6-8 weeks. """,8,2014-01-02,93
183200,Cymbalta,Depression,"""I have only been on this for 2 weeks but I can seriously notice a difference. I am 21 and for about 6 years (after a traumatic event) I have been suffering from ""severe depression"". I have always had pain and always been to tired to do anything but lay in bed and cry! I can now say I am happy! Finally happy, I can't remember a time I was ever like this. I am motivated, active, and enjoying life. It works quick. I do however have mild headaches everyday and multiple nightmares every night. I am told these will subside. It's pricey but I really think its worth it! Good luck to everyone.""",8,2013-06-20,74
198429,Exenatide,"Diabetes, Type 2","""I was on Bydureon for about 2 months, I really noticed the loss of appetite and lost my sweet tooth. My weight came down and my blood sugar levels dropped from 8.5 to 6.0. I was really happy with the medicine until the known side effects started to show. They were nausea this happened approx once a week in the fourth week in on taking the medicine and bloating, indigestion, a lot of passing wind and acidy burps. Also I felt a bump and itchy feeling around injection area whenever I injected. If they can sort out these side effects then it would be really fantastic for people with Type 2 diabetes. I was really reluctant to stop but the horrible nausea beat me.  """,6,2013-05-28,34
13891,Bydureon,"Diabetes, Type 2","""Within 2 weeks saw blood glucose more than half to good levels I've not seen for years (literally) no major side effects - felt sick twice within a day or two of first dose but apart from that all ok. Injecting in fatty tissue of stomach hardly any pain. Very well designed device and needle almost painless. I would recommend this for T2s who have gone to max on oral meds and need that extra help, this really is the magic bullet for me. I can handle weekly injections but not daily that's too much imho.""",10,2017-03-01,13
178683,Victoza,"Diabetes, Type 2","""I have been a type 2 diabetic for 10 yrs now. I tried victoza in may 2016. As of today, Sept. 24th I have lost 45 pounds, I'm down to 1 metformin a day and my A1C is great!! The side effects are minimal. Mainly sour stomach but that can be controlled mostly by diet.  Low starch foods help alot. I'm so glad after trying a few newer meds that I found victoza!!!""",10,2016-09-25,68
178737,Victoza,"Diabetes, Type 2","""All the side effects""",1,2015-12-26,5
122246,Venlafaxine,Depression,"""Worked for 2 weeks then stopped.""",1,2009-02-18,14
176778,Nardil,Depression,"""This medication is brilliant.  Completely got rid of my depression and social phobia. I take 75mg/day.  The SSRI's didn't really work.  Was laying on the bed all day thinking of suicide and death.  After I started Nardil my life completely changed.  Thank goodness for the medication.""",10,2015-09-03,47
201175,Zoloft,Depression,"""I was very very bad at one point with my anxieyy and depression and the OCD, they were all working together against me, the horrible disgusting thoughts from the OCD was driving me into constant panic attacks and anxiety through the roof! Which drove me to stay in doors and avoid triggers which then pushed me into a deep deep depression, I've been on zoloft now for about 6 months on a low dose of of 50mg, and I feel much better! I was able to go out and get a job which I am excelling at and got three raises in 4 months! I have felt a bit of the anxiety and ocd poking out once in a while but I may need to raise the dose but over all this med had changed my life so far, if you are in a rut and are down don't give up you can regain your life back!""",10,2016-11-19,88
231485,Trazodone,Depression,"""I take trazodone to help balance the effects Cymbalta had on my sleep and to help with my depression. My experience has been wonderful, helps me fall asleep and sleep restfully. Together with Cymbalta, Trazodone has completely eradicated my depression.""",10,2016-06-01,63
136286,Prazosin,High Blood Pressure,"""Using this for parasomnia, bph and bp. Kind of silver bullet. But my new doc tried to give me the brand name... Is it an extended release or just much more expensive? I only take it at night and dizziness hasnt been an issue. Seems to work as well as other bph meds that I have tried, my bp has also been reasonable. Seems to make sleepwalking more infrequent which is why I tried it.""",6,2016-11-06,2
156581,Dulaglutide,"Diabetes, Type 2","""Initial use info and review. Little dizzy and nausea the first day. So far, blood sugar readings are dropping. Was around 107-117. Now at 83. A1C is at 6.7. Looking forward to dropping THAT number. Next A1C read is in mid July. No other adverse affects so far.

(This ""Anti-Spam"" verification is ridiculous)""",8,2017-05-30,13
158491,Methylphenidate,Depression,"""Methylphenidate has changed my life.  My depression is almost nonexistent now.  I have also stopped dwelling on problems.  I take 54 mg methylphenidate xr, along with 225 mg effexor xr.""",10,2015-05-12,54
141645,Escitalopram,Depression,"""I am a 35 year-old female. I've always been a melancholic person (given my family history of anxiety and anger issues) but when I was younger, I have been able to experience some happiness. As I got older and had two kids, it got worse. I would get angry or sad at a drop of a hat, after which I would sink into depression. It also became more difficult to manage stress and anxiety. I began seeing a therapist who suggested that I get a physical with my primary care physician and ask if I can get a prescription for anti-depressants. I was put on 10 mg. of Lexapro. During the first few days, I was light-headed, groggy, and aware of every sensation in my body. I was also very thirsty. After a week, I felt the benefits. I feel happy again.""",10,2012-11-03,81
225955,Bupropion,Depression,"""Wellbutrin has significantly improved my overall concentration above all else. For the first time in many years, I have been able to actually sit down and read contently without my mind wondering. I wish I had this medication before I graduated from university, my grades would probably have been much better. I take this in combination with Cipralex. I have had no side effects with this medication.""",8,2009-06-08,46
198434,Exenatide,"Diabetes, Type 2","""My a1c is in the normal range now, and I have lost 42 lbs. All my labs are great due to the weight loss. I have been on 10mcg for over 2 years. My last a1c was so good last time, my doctor wants me to decrease to 5mcg. I have been to several dermatologists over the last 2 years trying to figure out why I am having hair loss, unhealthy hair, and change in texture. I never wanted to attribute it to the Byetta although the hair loss started a few months after I began taking it. I am now so desperate to stop the hair loss, I'm considering stopping the Byetta. I can't decide which would be worse - being bald or gaining back 42 pounds! I would really love to know if the person who recently posted had any hair regrowth after stopping Byetta.""",10,2013-03-20,33
32140,Wellbutrin XL,Depression,"""I knew it was risky to take an antidepressant given my symptoms but I was having trouble in my daily life and needed help. I began taking Wellbutrin XL 150 mg and for the first week I felt an increase in suicidal thoughts, tremors, and psychomotor agitation. It felt like I was going to die. After that week, my psychiatrist added Klonopin to help control these side effects. Since then, I have had an improvement in quality of life, which is all I can ask for.""",6,2013-06-25,42
198026,Metoprolol,High Blood Pressure,"""I took Lopressor for 24 years it worked very well in lowering my blood pressure and even calming my anxiety but lately it doesn't work on me very well as before, I guess the doctor will change it.""",10,2014-06-24,55
28999,Lexapro,Depression,"""I am a 33 year old mother of 2 who was ready to give up on life.  Started taking 10mg of Lexapro and eventually increased to 20mg.  Have been taking for about a year and a half.  Although still dealing with a few side effects, (insomnia, weight gain, and waking up with headaches), Lexapro has truly saved my life.  I can now be the kind of mother and wife that my family deserves. """,9,2008-07-20,46
205363,Pristiq,Depression,"""I took pristiq for a month, one pill a day,
I'm currently tapering myself off of it now because it has caused the following effects:
Loss of any emotion
Uncontrolable shaking
Inability to feel hungry or full 
&
Inability to feel pain 
I'm 16 and this anti depressant is for 18  but my gp thought it was a good idea to prescribe it for me? I don't think I'll ever take another anti depressant again I'd rather feel everything than nothing.""",1,2015-12-05,12
95811,Sertraline,Depression,"""I was on the sertraline, for 3 years. After developing a strange phobia with severe anxiety, suicidal thoughts, and major depression, this medication probably saved my life. However, it only brought me back halfway. I still was depressed and still suffered from anxiety attacks, just not as much. After a couple of years, I believed it stopped working, even after increasing the dose, so I stopped taking it.""",6,2014-05-12,25
198302,Exenatide,"Diabetes, Type 2","""I started Bydueron 10 weeks ago.  I was fine the first 6 weeks.  On week 7, I became extremely ill.  Vomiting, explosive diarrhea, gas pains and bloating like never before, long flatulence every few minutes (how embarrassing!), and sulfur-tasting belching (like rotten eggs).  Endo dr. said it wasn't the med.  I went to my primary doctor because I wasn't sure if it was a virus.  All of my tests came back negative.  Third week, same thing.  I decided not to take the injection and notified endo. She told me to stop metformin and resume shot.  Last week, had shot and condition worsened.  She finally told me to stop the injections.  It's been four weeks of suffering.  Not worth it!  This stuff is poison to me!""",1,2016-11-10,29
121905,Venlafaxine,Depression,"""Helped a ton post-partum. Suffered depression long after both my babies were born. Insomnia is common and I took sleep aids for the first year. Any tiny disturbance in taking it is NOT RECOMMENDED...Worst I have ever felt.  The ""brain zaps"" are like a special kind of torture and my appetite is simply non existent...not good for someone already under weight.  It saved me for a long time but the choice to come off was heavily weighed against the withdrawal symptoms. I am suffering through it a week later. Anxiety getting better but physically there is not much change.""",9,2012-09-23,1
126104,Viibryd,Depression,"""I had been on Lexapro/Celexa/Citolopram for the past 10 years (maybe a couple more) and it was fabulous!  About a year and half ago it stopped working for me.  I had tried Wellbutrin before the L/C/C and it was horrible for me - like wanting to hide in a corner under a desk paranoia!  My doctor sugested Viibryd after the L/C/C stopped working and so far so good.  I can't attest to the GI problems, and I don't know if I have the night time issues (I sleep like a log and am single so no one is there to tell me what is going on while I'm sleeping).  I do have sleep issues, but not related to Viibryd.  I have found that the Viibryd doesn't help with anxiety/anger issues, so the doctor suggested adding L-Theanine and that helps tons!""",9,2013-01-15,38
55635,Effexor,Depression,"""Started effexor 75 in Oct start feeling fantastic beside dry mouth and a bit of nausea. Doctor up it to 150mg in November. I felt like a whole different person I got my life back but due to some side effects of the drug causing constipation and facial twitching in my lower lip and body jolts doctor tried to ween me off 150 mg taking one pill every second day it was too fast to soon. Wow just as well if I had done it cold turkey. Brain zaps, crying, feeling lost in my own body. Scared tremors.  It has been almost 2 weeks with no effexor and I have got vertigo, felt like I was going to die.  Today I started taking 150mg again today and already feel a difference. This could be my drug huge difference in mood ,zapping  gone and dry mouth is back I can live with that .""",9,2017-03-13,22
78165,Zyprexa,Depression,"""This medication is a great sedative, if that's what you're looking for. It's not euphoric, it just makes you sleepy.  But it caused me to gain over 40 pounds in less than 2 months.  I now get depressed just looking in the mirror.  My doctor says it just makes you hungry, not gain weight, but the amount of weight I gained in such a short time is unnatural!""",7,2012-02-13,83
121103,Venlafaxine,Depression,"""This medication was by far the worst antidepressant have taken. The first month I seemed to do very well on it, after a year on it, I hit rock bottom mentally. It caused more terrible symptoms than what was beneficial to me. I had weird brain zaps that left me in bed for days, sleep disturbances, attention seeking behavior, as well as OCD that I had never experienced previously. It took forever to get off this terrible drug and I call it a terrible drug because your brain and body get physically addicted the way a street drug would, you miss 1 day and you start having severe withdrawals, sweats, extreme brain zaps, feeling out of touch w/reality/strange thoughts. After a month of being off Effexor, All of the bad stuff stopped.""",1,2017-01-06,10
11891,Trulicity,"Diabetes, Type 2","""Started trulicity about 8 months ago at .75mg...in the beginning very queasy & complete loss of appetite which was a great thing. Also belching & heartburn/sour stomach. I noticed after about 3 months the effects wore off so my doctor put me on 1.5mg 1x per week plus the .75mg 1x per week. None of the side effects returned...my appetite is back, no queasiness, weight loss stopped as well as no more sour stomach or belching. Wonder if anyone else has experienced the effects of the medicine wearing off as well. Not sure why I am still on it at this point! Also taking 1000mg Metformin 2x daily & invokanna.""",3,2016-03-07,17
201891,Sitagliptin,"Diabetes, Type 2","""I have been diabetic since 1989 and have gotten worse over the years.  My A1C has been climbing steadily.  I take Metformin 2500 mg per day.  In March my Dr started me on Januvia also and I can't believe the difference.  My A1C went from 9.4 to 7.0 in 4 months.  I am also surprised I haven't had any side effects because it seems many meds bother me.  My problem now is my new health insurance won't cover Januvia as of Jan 2016.  Yuck.""",10,2015-09-29,43
122110,Venlafaxine,Depression,"""After having a heart attack I became very depressed.  I have been on Lexapro, Zoloft, Xanax, Ativan, Wellbutrin, and Buspar.  None worked and I attempted suicide.  I have Major depession and anxiety disorder, so take my comments in stride.  The right drug for you is out there along with intensive therapy.  I was switched to Effexor XR while in ""the funny farm.""  After the typical waiting period for it to kick in, I can tell you I am a new man, looking at life like I used to.  It has saved my life and my family.

It hasn't done much for anxiety, so for the first few months after my severe ""episode"" I was on Seroquel. I have now been switched to clonazepam for that issue.  Please consult a proper medical person.""",10,2010-02-12,39
183430,Cymbalta,Depression,"""Cymbalta does indeed work. Most who have given it a fair shake know the results and it is seen by reading the comments here. Most people who quit using Cymbalta never gave it a ""real"" chance of working properly. For most people, Cymbalta starts working quickly, but some may take 2-3 weeks or more to get the full effect.

""",9,2011-09-25,19
186060,Desvenlafaxine,Depression,"""I was on this for 5 weeks broke out in hives- now off of it and on Prednisone. I also take Lamictal so she took me off that too as she didn't know which med was causing the issue. If you start itching get to your DR right away""",3,2015-11-28,13
131512,Effexor XR,Depression,"""Worked quickly (or it was in my head), lots of yawning, by week 4 very drowsy in the morning on my 90 minute drive to work so started taking it after I got to work which is better for society in general. Sometimes restless sleep. Having said that, I had a lot negative thoughts about my life that I don't notice or dwell on now so I am really good with these minor side effects. I'm much happier, less irritable and family recognized it easily. I'm genuinely happy with it and thankfully no nasty side effects (thus far).""",9,2017-10-06,8
177320,Duloxetine,Depression,"""I take cymbalta for depression and anxiety. I've read a few comments on here and it sounds like a few people may have or had serotonin syndrome. It has happened to me in the past when a prior doct didn't pay attention to my meds. Please be safe. Cymbalta has helped me a lot. I went off for about 3 yrs and have had to go back on.""",10,2016-12-16,27
32548,Lisinopril,High Blood Pressure,"""I was just prescribed this medicine 3 days ago for high blood pressure, running an average of 139/90. I am 38 with high blood pressure and strokes that run in the family. 
Day two and three I have had a severe temporal headache and itchy throat. Called the doctor but only suggested sinus medication at this time. I am taking 5mg once a day.""",7,2010-10-14,26
177893,Duloxetine,Depression,"""I LOVED Cymbalta, I felt wonderful, no aches and pains, no depression, I had my life back. I was paying $90 for a 3 month supply... THEN it happened, my co-pay went to $1000 for a 3 month supply! I want to cry, I obviously can't afford that so I got switched to Venlafaxine, I now have a constant slight headache and it makes me nauseous, my anxiety is back. Dr. switched me to Prozac yesterday, we shall see but what I would not give to have my Cymbalta back.""",10,2012-10-16,32
101070,Rexulti,Depression,"""I was prescribed Rexulti when my daily depression meds began to no longer work for me. It started working almost instantly I have been on Rexulti along with my daily meds, and I have been feeling better then ever.""",10,2016-11-07,45
201467,Zoloft,Depression,"""I've been on Zoloft for 3 months now. Initially, I suffered from side effects such as shivering, loss of appetite, drowsiness, and insomnia. These symptoms lasted for about three days. I was scared at first and planned on trying another medication for anxiety. However, I called my cousin who is a nurse and she told me to try cutting the pill in half. I took my cousins advice and cut the pill in half, taking only 25mg a day which works really well for me.I'm 5'4, 130lbs. I no longer suffer from anxiety, after taking Zoloft that I realized that I was suffering from depression. Zoloft alleviates my anxiety and has greatly helped with my depression, I now feel more happy and motivated to do things right away without procrastinating. Life changer!""",10,2015-10-14,102
126052,Viibryd,Depression,"""I have never been so upset/embarrassed with outbursts of anger. The day before I was screaming at my daughter at a water park as well as my poor son in the airport.   I can't believe my aggressive behavior. I'm getting off of this.""",3,2013-07-12,61
170873,Quetiapine,Depression,"""Well, I am using 400mg per day together with Rexetin (Paroxetine) and Fluonxol, sometimes Xanax. I used to have much more medicine, because I have manic depression with tendency to self harm and sleep disorder. What I like about this medicine is that I can have kind of 3D dreams and I can sleep normally, but what I dislike is that I have low libido and that's why my boyfriend thinks that something is wrong with him (even when I say that it is just a side effect of medicines I have to take). It just seems for me like ""must to do"" action without any passion. And it is strange because I was very different before with great sex drive.""",9,2011-11-28,7
95995,Sertraline,Depression,"""I was on Zoloft years 9 years ago for social anxiety and it worked great for me. I decided to get off it but slowly all my symptoms came back. Also got very depressed. Got back in Zoloft 7 months ago and I feel great again. I did have to get a night guard from my dentist. I chipped two from teeth and cracked a molar from grinding my teeth. 200mg daily.""",9,2013-03-22,85
32802,Empagliflozin,"Diabetes, Type 2","""Jardiance gave me back pain because I was dehydrated so I decided to drink one glass of coconut water everyday to relieve the pain and it works""",9,2017-08-20,12
122034,Venlafaxine,Depression,"""That was so strange. I gave up smoking after 10 years with the help of Effexor.""",9,2011-08-22,1
11757,Trulicity,"Diabetes, Type 2","""I started trulicity on6-24-16 so far no side effects im used to drinking lots of water so im not bothered by the dry mouth i hope this helps me and doesnt give me more kkidney Damage ill keep u posted""",2,2016-06-25,11
17349,Toprol-XL,High Blood Pressure,"""I started taking this medicine in 2006. It works to take the pressure off my heart but it has caused me arthritis in my knees, hands and feet.  Now I am in pain most of the time.  My hands have developed arthritis in both thumbs, my feet have it in my toes.  I tried another Astra Zeneca product called Atacand and it works better but is so expensive I can't afford to buy it.""",5,2011-10-23,60
205507,Pristiq,Depression,"""I have suffered from severe anxiety (GAD) and was taking more and more Klonopin as time went on.  I am very sensitive to medication and have tried many different SSRI/SNRI's through the year with horrible side effects.  Finally, I had DNA testing to see what I would respond to and the result was Pristiq.  I started it several months ago in a small dose (I split the pills even though they say don't do this) and within a few days my anxiety literally went away.  I was able to cut my Klonopin in 1/2 over a two month period.  The first week or two I was extremely tired but that passed.  The only side effect I get from time to time is migraines.  It still amazes me that my anxiety has disappeared.  I no longer keep Klonopin in my  pocket!""",8,2013-11-01,81
186252,Desvenlafaxine,Depression,"""Depression has got worse causing me to miss work. Have been on 20 different antidepressants over 7 years. Pristiq didn't help at all for me, headaches, foggy and nausea. Also shaky at times.""",1,2013-04-04,35
45435,Fluoxetine,Depression,"""Most of my life I have struggled with severe panic attacks, general anxiety, PTSD & moderate depression. Been on meds twice before until I felt better & then I would stop taking them. This last time it had been close to a year that I had been suffering again before I decided to reluctantly go back on meds. I tried Celexa again- it worked kinda okay in the past but this time it made no improvement for me. Saw the doc who switched me to Prozac- all I can say is WOW! Best yet- I feel like my old, happy self after only 1 month! 10mg the first week, 15 the second and 20mg the last two. Give it time to work & be patient- it might make you feel a bit off & not better at first, but it is a miracle drug. These bad feelings will pass hang in there!""",10,2015-03-15,88
120982,Venlafaxine,Depression,"""I tried just about everything for depression and venlafaxine was one of the only drugs to help. I was so depressed that I jumped off a building for a suicide attempt. I wound up paralyzed in a wheelchair. Venlafaxine took a while to work about 3 moths or so. I first took 75mg but didn't do much. It wasn't until I reached 375mg that I felt the true effects of the drug. Very very strong antidepressant effects. My mind is clear and I'm feeling a warm glow all day. My depression so anxiety are gone even though I'm paraplegic I am happy. Wish they gave this drug to me a long time ago I would not be In a wheelchair. You have to really be patient and find the right dose abs then one day you'll wake up and feel great.""",9,2017-07-18,6
